Sr.No,Question,Option,Answer,,,,,,,,,,,,,,
1,Decision tree is the most powerful for ________,A) classification,C,,,,,,,,,,,,,,
,,B) prediction,,,,,,,,,,,,,,,
,,C) both a and b,,,,,,,,,,,,,,,
,,D) none of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,Decision tree is a flowchart like_________,A) leaf structure,B,,,,,,,,,,,,,,
,,B) tree structure,,,,,,,,,,,,,,,
,,C) steam,,,,,,,,,,,,,,,
,,D) none of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,Decision trees can handle_________,A) High dimensional data,A,,,,,,,,,,,,,,
,,B) low diamesional data,,,,,,,,,,,,,,,
,,C) medium dimensional data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,Which of the following is not strength of Decision Tree ?,A) able to generate understandable rules,C,,,,,,,,,,,,,,
,,B) able to handle both continuous and categorical variables,,,,,,,,,,,,,,,
,,C) less appropriate for estimation tasks,,,,,,,,,,,,,,,
,,D) perform classification without requiring much computation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5,Decision-tree algorithm falls under the category of ________,A)unsupervised learning algorithms,C,,,,,,,,,,,,,,
,,B) reinforcement learning algorithm,,,,,,,,,,,,,,,
,,C) supervised learning algorithms,,,,,,,,,,,,,,,
,,D) prone to errors in classification problems with many class,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,"Bootstrap and Aggregation, commonly known as_______",A) Information Gain,B,,,,,,,,,,,,,,
,,B) bagging,,,,,,,,,,,,,,,
,,C) Entropy,,,,,,,,,,,,,,,
,,D) none of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7,Random Forest has _________ as base learning models,A) multiple decision trees,A,,,,,,,,,,,,,,
,,B) bagging,,,,,,,,,,,,,,,
,,C) Entropy,,,,,,,,,,,,,,,
,,D) none of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8," Which of the following is/are true about boosting trees?                                                                                                                                1. In boosting trees, individual weak learners are independent of each other                                                                                        2. It is the method for improving the performance by aggregating the results of weak learners",A) 1,B,,,,,,,,,,,,,,
,,B) 2,,,,,,,,,,,,,,,
,,C) 1 and 2,,,,,,,,,,,,,,,
,,D) None of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9,Which of the following can be true?                                                                                                                                                                           1. Number of tree should be as large as possible                                                                                                                                                  2. You will have interpretability after using RandomForest,A) 1,A,,,,,,,,,,,,,,
,,B) 2,,,,,,,,,,,,,,,
,,C) 1 and 2,,,,,,,,,,,,,,,
,,D) None of these,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Possible Scenarios can be added,"Use a white box model, If given result is provided by a model","Worst, best and expected values can be determined for different scenarios",All of the mentioned,D
10,Which of the following are the advantage/s of Decision Trees?,A) Possible Scenarios can be added,D,,,,,,,,,,,,,,
,,"B) Use a white box model, If given result is provided by a model",,,,,,,,,,,,,,,
,,"C) Worst, best and expected values can be determined for different scenarios",,,,,,,,,,,,,,,
,,D) All of the mentioned,,,,,,,,,,,,,,,
